text,rating,category
These are perfect for my diced potatoes for potato salad!,5.0,Home_Kitchen
"these are the 1st eyelashes I've had that fell apart when I washed them. I've been using eyelashes for several years now, and I've always washed them with a very gentle eye makeup remover, these lashes just started shedding & haven't stopped.",1.0,Beauty_Personal_Care
NOT working with existing Chime!!! This should be highlighted and shows on the box!,1.0,Electronics
"I am downgrading my star rating on this item to reflect the fact that this does not fit in my washing machine.  I have a fairly large front loader and this will not even allow me to close the door of the washer.  In order to keep using this product, I will have to take this to a laundromat or have it dry cleaned...money and time I don't want to waste.  If you have a super large washing machine, then this would be really nice.<br />_____________________________<br />I really like this mattress pad.  I thought I would be getting a mattress pad like the one I already had on my bed.  Oh my.  Was I wrong.  This mattress pad came in a huge box because it is very VERY plush.  It is very thick which I like since it adds another comfort layer to my bed.  It's also very soft.  I have a fairly deep mattress and was worried this would not fit and stay put on my bed, but it does.  I think this would stay put on a bed that was even deeper than my mattress.<br /><br />I will be watching the seams of this mattress pad as the part that wraps around the mattress side is not very thick, and I wonder how strong the seams are.  But so far so good.<br /><br />The only negative I can see about this mattress pad for some people might be the fact that you will not be able to fit this into your washing machine.  I have a front loader that is big enough to handle it, but not all washing machines would be big enough.<br /><br />The insert that came with the mattress pad says the following...&#34;Luxurious and soft, blended fabric to help regulate body temperature while allowing mattress to cool.  Mattress pad is filled with hypoallergenic alternative down cluster fibers, and the specially made skirt is made to fit mattress' up to 18&#34; deep&#34;.",2.0,Home_Kitchen
Perfect little bottles.  We are using these for our boy’a art project.,5.0,Home_Kitchen
Adorable and perfect for my china cabinet display.,5.0,Home_Kitchen
I bought these to decorate gingerbread houses. They were perfect.,5.0,Home_Kitchen
"Didn’t taste bad, absorbed really well!",5.0,Health_Household
This cleaner would not even play to clean!,2.0,Electronics
"My phone has a cloud or dark spot in the rear camera.  It's clearly a defect in the rear camera from out of the box new, which is a materials and workmanship problem.  I had to fight with them on the phone for hours to get them to agree to a warranty claim.  Then you know what?  They want me to ship them phone for a couple of weeks to see what they can do, and IF they decide it's not under warranty, they charge me?  So while it has a warranty, you can fully expect that it is a meaningless warranty from a company that does not stand behind it's products in a meaningful way.  They want you to pay full price for their flagship phone, and then not have it for weeks on end, and they don't see an issue with that in the slightest.  They literally told me ""we already have your money, so that's our policy. Take it or leave it.""  With that in mind, I recommend that if you buy a BLU product, consider it without warranty.  And god help you if you ever need to call into their worst-in-class support.",1.0,Cell_Phones
"...and that's about it.  Not very effective in the healing process, but if you want to ""slick up your ink"" to make it look sharper that's about all this stuff is good for.  Go with a quality healing lotion by Eucerin instead.",2.0,Beauty_Personal_Care
