text,rating,category
"We used these bags for Christmas gifts to the music team at church, and it was nice to have Christian-themed gift bags to use. Thanks!",5.0,Health_Household
Have dropped my phone many many times and this has saved the screen. Buying second one now.,5.0,Cell_Phones
"When I put 2 of these flash drives in my iMac, it shorted out the USB ports (they all stopped working) until I removed them!  And this happened when I plugged the Flash Drive into a USB hub, or directly into the computer!  One flash drive was a USB-2 16GB and the other was a USB-3 32GB.<br /><br />These drives are BAD.  Never again PNY, never again.",1.0,Electronics
I use this all the time!  I like that the grabber head rotates and locks into place so I can reach things at a comfortable angle.  It had no problem using it to pick up full spray bottles of Febreze that my dogs knocked behind the tv center.  It also works well for delicate items.  I can even pick up paper with precision.  Excellent product!,5.0,Health_Household
"Previously we had one of the toaster over like air fryers with the door you open in the front and it worked good until we realized the oil went down the door and into an opening then on the counter top. This oven does not do that, it is impossible. I also like the wider air frying space so you dont have to move the trays around. The only thing you have to be careful about is that when air frying the food on the outside will cook much faster, so need to shake up the tray very 5-8 minutes for even cooking during air frying. Everything else works perfect, great design, very nice ceramic coating (so much better than teflon coating).",5.0,Home_Kitchen
It gets too hot and the auto off timer does not work.<br /><br />Seems to be a fire hazard.,2.0,Health_Household
Arrived damaged - top of the bottle was broken and the seal was no longer secure.,1.0,Health_Household
"I bought this for whole family, I like to work on my nails. My husband doesn’t cut his nails and just file, I need to cut nails for my 4 yr old.<br /><br />There’s enough pieces for all of us, my husband was very happy with coarse and fine nail file. My son did not complain much with a special shape nail-cutter that didn’t hurt him.<br /><br />All pieces are made of heavy gage steel and seems like will last long. Great purchase for the peice.",5.0,Beauty_Personal_Care
Don’t waste your money on this cheap particleboard trailer furniture that isn’t worth it. The back is actually cardboard. The cheap paint is peeled off and it already sags and is warped.,1.0,Home_Kitchen
This is a great size for those big meals with a full table. Its turns easy and is quite.,5.0,Home_Kitchen
"One does not have to heat up oven,this cup cake maker is great for many baking treats in a short time,a++",5.0,Home_Kitchen
"I'm very pleased with these mylar bags. The material is thick and sturdy, and the zip lock closure at the top is of good quality to maintain a tight seal. The size is very handy for storing bulk grains, flours and the like -- not so big as to be unwieldy, but more than large enough to handle a good amount of material.  The base is pleated to allow the bag to stand up when filled.<br /><br />It comes with oxygen absorbers. I like that they are vacuum packed in groups of 4. That's much more convenient than having all the absorbers in a single pouch since the unused ones remain vacuum sealed and fresh until needed.<br /><br />No complaints at all. Very good quality, good performing mylar bags in a very handy size for bulk storage. Five stars.",5.0,Health_Household
...but I wish they could safely be washed in the dishwasher and preserve their good looks.,4.0,Home_Kitchen
This converter performs its prime function just fine. No complaints there. I like it.<br /><br />I would like to note that the robust-looking heat-sinked appearance is a sham.<br /><br />The case is not metal. It's silver-painted plastic. Just saying if that's important to you.,4.0,Electronics
"This is a 1 piece phone cover for my LG Journey. It fits fine and comes with screen protector, too. Seems like a good value. Would recommend.",5.0,Cell_Phones
"Well built, strong, durable, and makes a large cookie. Also use for cupcakes, meatballs, anything you need to scoop.",5.0,Home_Kitchen
"You really do have to be careful with this...If you are cooking stove top, do not be fooled, it can still be hot. It says it protects hands from heat, but I've noticed that on the stove top that the closer to the base you get it still get's pretty hot...Just be cautious!",4.0,Home_Kitchen
Saved my phone from a damaged screen and bought a replacement to keep up the protected trend!,5.0,Electronics
Heavy. Well made. Very easy to use. Nice deep wedges with a wide grip handle. Very happy with this. Love the wavy texture it gives the potatoes when layering casseroles and roasting in the oven.,5.0,Home_Kitchen
"Light weight, the on/off switch is a bit flimsy but other than that, it works very well.",5.0,Electronics
[[VIDEOID:edee3fac5f7f85ec12160597b627499b]] Seems like a nice stylus.  It’s easy to hold and fits nicely in my hand<br /><br />The design seems like any other stylus I’ve seen before.  The look and feel is similar as well.<br /><br />I think it’s easy to use overall.,5.0,Cell_Phones
It fits my new iPhone SE perfectly and has already protected it from several falls.,5.0,Cell_Phones
"I’ve been contemplating getting these for a long time. I need something for hiking and biking so I can hear ambient noise for safety.<br /><br />Pleased that it works. Unfortunately, the headset is quite uncomfortable. They press on my ears, kinda forcing them to fold forwards. After 10+ minutes, this becomes painful. It’s even worse when worn with a bike helmet.<br /><br />A headset redesign is desperately needed but the technology definitely works.",2.0,Electronics
"The shipping on this product, was really quick, came sooner than expected and when I put them up against some of the other trash bags I had used in the past, these were of superior quality, held everything in, no tearing, and did not burst when compressing them. I will order these again, and keep them on my subscription list, as they are just that good!",5.0,Health_Household
"I have the Omega 8006 and have always loved it. I wanted to love the Tribest as I really liked the fact that there's a manual conversion kit for it. Unfortunately I think the Omega 8006 is the better choice for me. First of all, I don't care for the fact that you have to hold down the switch on the Tribest.  Also, the Omega seems to do a better job on stuff like frozen banana 'ice cream'. which is one of my favorite things.  I did not get a good consistency with the Tribest. Regular juicing performance seems similar, with perhaps a slight edge in favor of the Tribest.  Although as I said earlier, I prefer the regular on-off switch on the Omega to having to hold down the switch on the Tribest.  Finally, the Tribest takes longer to clean.",3.0,Home_Kitchen
"Nice set and selection at a great price. I recently got a foot grinder, and saw that it comes with one coarse roller. Not sure what I would need, I found this set with filing roller options. I have used/tried all of them and am very happy with this set and recommend it<br />Actually just bought a 2nd set for my.sisters Birthday coming up",5.0,Health_Household
"Dont need much. I think I like this better than colostrum powder as it is more concentrated, and the tiny container takes up way less space. I do best with supplements that I dont need to fish out of the over packed cupboard. I usually add collagen and colostrum to my coffee with ease. This takes a little more work, but not enough to deter me from using it. I happen to have a {{ASIN:B0972S5VG7 rechargeable personal blender cup]] that is great for getting powders to dissolve. So I just add my coffee and a scoop of this, do a quick blend, and then is all well dissolved.<br /><br />Gut health is all over health. So anything to keep the gut happy.",5.0,Health_Household
Purchased the 60 X 60 table cloth but it was smaller by at least 2 inches on each side.,2.0,Home_Kitchen
"Great product, I have used my first one for 3 years. Loved it and got quite a few remarks from it.",5.0,Cell_Phones
These are great house slippers.  They have a firm sole and excellent arch support and have a soft lining.  I highly recommend them.  I wear 9.5 and ordered the 9.  They fit perfectly.  I usually buy Haflingers but they are expensive and don’t last more than six or seven months (one year max).  I bought these to try instead and I’m glad I did.  I think these will last MUCH longer.,5.0,Health_Household
If you’re not hard on your products this is great!<br />If you’re a little less delicate - gives out quick.,3.0,Cell_Phones
"The first one that I received started working as soon as I plugged in the USB bluetooth receiver and all functionas worked except the touchpad disc. After troubleshooting online with Logitech, we determined that this was defective. I received another one at blazing speeds both due to the excellent Logitech support as well as incredible return policy which made it a pleasure to work with Amazon. The second keyboard works flawlessly. Absolutley a piece of art.",4.0,Electronics
"Honestly somewhere between 3.25 & 3.5 stars and but we can't do fractional stars so I'll give it four. My phone is a older Galaxy S4 and maybe it has a twist in the body. The only place i cannot, no matter what I try, get the protector to lay flat is the upper right corner where the camera is. I've had the protector on and off three times (only once using the hinge stickers) and I don't want to ruin the adhesive ability of the screen protector.other than that small spot in the corner (there were worse but removing the hinges and just placing it by eye worked okay) combined with my Samsung rubber wrap around protector now I feel pretty safe carrying this phone around. It may be a few generations old but it wasn't cheap! Reasonably pleased with the product after all it could be the phone that isn't 100% true.",4.0,Cell_Phones
Worked great for my daughter who was Princess Leia for Halloween.  It came in a cute box that allowed the buns to hold their shape rather than arrive squashed.  Would recommend.,5.0,Beauty_Personal_Care
"I Ordered this product on a Wednesday, and got it on that Friday. Super fast shipping! The product itself is great. It's the same product that you see in the store for half the cost.",5.0,Cell_Phones
"The mini-phono plugs at each end are 3.5 mm in diameter, same allegedly as 1/8 inch, except that 1/8 inch is exactly 3.175 mm and 3.5 mm is not exactly 1/8 inch either, but we won't say anything as long as the darn things fit together okay.",5.0,Electronics
"This is a candle holder, not a holder for a candle holder. It is made of shell. It is very beautiful but is breakable. The colors are true to the photos.",5.0,Home_Kitchen
I ordered two bottles of unflavored K2 and the bottles were different.  One bottle has no taste (as advertised) and the other bottle tastes so terrible that I can't use it.  So what did they send in that second bottle?  This product is what I wanted but now I don't know what I'll get if I reorder.,3.0,Health_Household
"These are cute and pretty but they don't act as a &#34;stand&#34; to hole the phone up at an angle. The hinge is too loose. The ring is also very small, so unless you have very slender fingers, this phone holder will be uncomfortable or impossible.",2.0,Cell_Phones
Great price but the readers come with an slight imperfection. All of my pair looks faded on the outside and inside of frame. I'm thinking...is this why they were $4.99. 🤔. They are still cute.,4.0,Health_Household
"Not very attractive,  the colors are not like in photo, and the band thins out toward the end, was suppose to be compatible with 45mm, disappointed",2.0,Cell_Phones
One of the go to-s for a Relaxing scent.<br />Has the mix of a tamed cologne / fresh linen,5.0,Home_Kitchen
Really did not get a chance to wear. It would not stay on my ear.,3.0,Electronics
"Not that great, but definitely a time saver for certain vegetables.  The blades seem cheap.  The way they are seated in the mandoline creates a gap at the bottom of the V which the items being sliced get snagged on/in.  I probably wouldn't purchase again, but I don't regret having given it a try.",3.0,Home_Kitchen
This soap smells fantastic and it lasts a long time (about 6 weeks) so I don't have to get a new bar of soap every week with the tiny soap pieces hanging out all the time from the small store bought soaps.  I hate having the tiny soap pieces in my soap dish or tub bottom.  The smell of these soaps are wonderful.  I am a repeat buyer!,5.0,Beauty_Personal_Care
"This makes my silverware drawer bigger in the inside!  The product measurements are accurate.  What took up a whole 2 drawers is now in one spot!  Where we live now, temporarily, has only 3 small drawers in the kitchen.  This has helped so much!!!",5.0,Home_Kitchen
"If you're in the fence about a tempered glass screen protector, hop off and get one fast. I just put my second one on after numerous drops and my phone starter to show all the cracks. But the screen protector saved the actual glass. Not a single scratch on my phone. The protector absorbed all the damage.",5.0,Cell_Phones
Purchased November 2018......worked ok.......has a very short cord so a bit difficult finding an outlet that could accommodate it - 4 stars.<br />Has stopped charging.......blue lights come on when you put battery in but nothing more......Charger does not charge -1 star.,1.0,Electronics
"Dose: 2 gummies<br /><br />Active Ingredient: Vitamin C as ascorbic acid, 80 mg per gummy.<br /><br />Other Ingredients: Maltitol syrup, maltitol, purified water, pectin, starch acetate, natural orange flavor, citric acid, trisodium citrate, B-carotene (color), glazing agent (carnauba wax and vegetable oil), DL-malic acid.<br /><br />PROS<br /><br />1. The gummies are fresh.<br />2. They are sugar-free, if that is something you desire.<br />3. They are vegan, using pectin instead of gelatin.<br />4. The additional ingredients are basically safe, though not particularly healthy.<br />5. All gummies are easier to take than swallowing pills.<br /><br />CONS<br /><br />1. These gummies are an extremely expensive way to supplement with vitamin C. The dose is very small at only 80 mg per gummy. Most health conscious individuals who supplement with vitamin C prefer to take at least 500 mg per day.",3.0,Health_Household
